term;tfidf
people;75.22441699846749
like;48.9535310714662
article;44.65837951682836
think;44.47385151154829
really;42.489160807738756
would;39.9251878019621
feel;38.89643062239399
dont;36.67804852275762
thing;36.12319105240572
know;35.63783560484431
get;35.279799889900964
one;35.07878812629643
life;33.286272135932
read;32.997858004810745
make;32.77666005893567
country;32.667334663694575
need;32.611417847517515
sad;29.781650447834508
could;29.49965013143373
going;28.81563822052358
time;27.87258428217774
many;27.471150200207823
way;27.400067495662025
even;27.039835702831912
something;26.909702109724176
child;26.785179487915762
world;25.54407226907844
family;25.367387800798845
much;25.23885964825545
cant;24.718300262980502
see;24.033514825696837
go;24.015378174278315
animal;23.518660420075378
help;23.515656530109506
im;22.90072820715665
bad;22.716171273658972
take;21.980811678792115
trump;21.762164342230424
hope;21.72402481565327
story;21.344966576745765
someone;21.26293955073885
believe;21.014009853444957
seems;20.993132803313685
problem;20.871596064807633
woman;20.21980208701611
right;20.187237140089902
want;20.00257620136381
well;19.596624187472404
also;19.545418203082864
never;19.17657160474282
good;18.78091253184207
still;18.60674108673793
lot;18.43538222338198
day;18.223160734109918
issue;18.091744427578558
live;17.86269455352113
change;17.81969497377448
person;17.74471205633541
situation;17.635397115200192
care;17.620249191615695
sure;17.480445750494777
kid;17.429472656834502
kind;17.212890828055027
imagine;17.193921272889305
place;17.19364864725762
year;17.04804362828195
come;16.82770153705315
trying;16.739501773700415
another;16.73667590109552
police;16.48109924251832
man;16.395571741085185
guy;16.148702521157006
government;16.09597778011192
better;16.072155470420533
human;15.772013444218004
hard;15.489232581929189
always;15.484988026736502
must;15.458678656968802
find;15.29493385448285
understand;15.155579182323205
happen;15.028059631374546
say;14.97292185982142
killed;14.53214684686452
reading;14.259088851905986
money;14.172508704643693
thought;13.967538854473668
water;13.958356684995012
hear;13.936973548107126
back;13.706358602482354
happened;13.64994714121587
reason;13.546700788599566
didnt;13.42212565512205
maybe;13.332306221060053
area;13.259586723687557
since;13.216370337039718
little;13.138372305143491
anything;13.123431688605066
poor;12.82161982256714
war;12.747267660100453
got;12.703265702263854
stop;12.62357942400379
news;12.599688341823793
happening;12.595765837466029
around;12.541649356295999
getting;12.503780095072257
work;12.492053678979747
climate;12.482390943974318
made;12.430938659397267
friend;12.355164176631208
done;12.31037899462253
terrible;12.284007863211531
nothing;12.222047205152128
state;12.14925457788257
long;12.134414270837418
put;12.038266004952515
enough;12.020804218499908
able;12.0119392389375
crazy;11.979539419226935
away;11.903346512301253
everyone;11.871607161320808
let;11.807554538303533
doesnt;11.790268583950896
though;11.785395190210057
wonder;11.689208381046978
show;11.687880242861517
look;11.682857210008697
thats;11.64296950773454
death;11.60277506619544
especially;11.501573831529257
end;11.48292483979711
may;11.474385013553354
every;11.452985093173709
try;11.431599340018533
guess;11.417157631541713
hate;11.316992892838488
gun;11.27948914473898
pretty;11.149790844210896
said;11.078823894637525
mean;11.006153405298562
horrible;10.983745304726668
parent;10.933838721052545
hey;10.896613804441811
lost;10.862112464688064
died;10.81210525938392
wrong;10.792829438360343
found;10.775894936759265
anyone;10.754623575030836
two;10.70315542601812
wish;10.655938049422716
fact;10.63083615012826
probably;10.598290957150736
home;10.4259554992331
others;10.402282700001756
might;10.38276126178762
america;10.3196042181663
president;10.20550095403495
new;10.136727690736187
food;10.06713271734639
cause;10.062400112427737
interesting;10.041610287119443
safe;10.036357993489519
act;9.9995439225939
attack;9.987796740254838
american;9.966417040667645
fire;9.917940668110308
without;9.902284826750028
feeling;9.891972490159194
die;9.823613122440412
different;9.789416549148296
officer;9.718194966531529
keep;9.593968293254205
kill;9.477988578132935
society;9.460337674797556
theyre;9.442373579216556
big;9.395245761452815
health;9.372738658051206
first;9.313481785238007
everything;9.291701965564842
great;9.268767752836352
