term;tfidf
read article;11.90040110793807
feel like;8.09964676056669
climate change;7.755459857168612
many people;7.344823872450382
feel bad;7.298332621371648
can not;6.543351436625612
seems like;6.4195648607213505
dont know;6.296486321193391
im sure;5.632561121484057
article read;5.496051423304595
dont think;5.16337381972336
reading article;4.566770328850898
cant believe;4.526480674083186
middle east;4.5169183148374445
cant imagine;4.351114082560569
something like;4.323221680094446
donald trump;4.251266451194615
global warming;4.2229202243445805
dont understand;4.211120449602586
united state;4.160151724937581
make feel;3.9490014996054685
really sad;3.854406560134313
im glad;3.7889058008800136
sound like;3.755581145560878
thing like;3.690121913876127
police officer;3.684888324978
people would;3.462662545064917
feel sorry;3.3554039859685543
make sure;3.3471527061302844
cant even;3.1435599756945645
dont really;3.1112954180498917
people need;3.0406513085710447
polar bear;2.9727799755369206
poor people;2.9689997480851487
people dont;2.8332421118058813
even though;2.7980353683441845
would like;2.7527757403726376
people life;2.6998626839077025
year old;2.6812702595183224
really feel;2.67768062505895
never know;2.655944359075263
innocent people;2.6435004062266687
take care;2.569355933212376
make sad;2.518881679047934
lot people;2.512045885150561
interesting article;2.486907702779704
dont care;2.48084738196485
think people;2.4452944641777425
think would;2.4001978606551844
mental health;2.3563924075576517
like people;2.3463969727232437
people like;2.293012229471387
around world;2.264715512059945
people trying;2.2509139073245628
dont see;2.2317049325224487
dont want;2.2165845805000353
every day;2.1729772468261115
long time;2.161128852346776
really dont;2.16006424916315
loved one;2.140554741939233
get away;2.1311837768815765
people want;2.1164051097718386
help people;2.1094074141965846
seem like;2.103658519225454
social medium;2.098679050561888
bad people;2.084268382797105
really hope;2.083665434487946
well fargo;2.0505147029991555
people killed;2.033271491774541
family member;2.009473241003422
really bad;1.9974209141286083
natural disaster;1.9950943049267984
even imagine;1.962501948136059
people get;1.956487788499402
article really;1.9514510483887129
could happen;1.9510570442083741
look like;1.93733134033207
not believe;1.9182249976660026
president trump;1.9102690119776997
really need;1.892379871755713
one thing;1.8650370142695212
birth control;1.8636297605565095
sad see;1.854191244771761
could imagine;1.8523755921023035
little bit;1.8422048858800675
year ago;1.8380938772132969
would want;1.8265948667243828
hard time;1.822727152367966
would think;1.8204472403017256
sad story;1.7996550952849861
wish people;1.796165821095583
people died;1.787614675179963
people think;1.7762775982022114
thought would;1.7759138681646536
people people;1.7758567964309948
people dying;1.7665438257673745
think really;1.7660906771359646
able get;1.757464987546375
feel really;1.7553724335702188
trying get;1.7285673111459154
put place;1.7273112327877846
native american;1.7219444802176973
hello friend;1.7164771306711935
health issue;1.6876795699240605
air pollution;1.6784286587389756
want live;1.6724461194788685
human being;1.6602967911489528
get better;1.6399495600220693
side effect;1.6339432864437042
check article;1.6273456836205875
cant help;1.6172653502645613
dont even;1.6138292365633173
better life;1.6095921707336966
people cant;1.6088049620878846
people die;1.6065344310061003
friend family;1.6031903037611508
article say;1.5972622306664468
make sick;1.5943025966118256
hey read;1.5926327952659551
know would;1.59011959336939
every time;1.5873996380556386
scary think;1.5861313119107687
one another;1.583880755741626
even worse;1.5816955519908549
zika virus;1.5785592321084547
first place;1.5633908622576576
find way;1.5598425649546241
go back;1.5469033332881637
never heard;1.5464127358712703
understand people;1.5337364880078197
hate crime;1.5322178910546649
sad hear;1.5288753935876058
take life;1.5277331899480553
know much;1.5211366550271919
people still;1.5148429925394356
sad think;1.512290119923346
like happen;1.5102819978892212
people getting;1.5100290358336736
sad people;1.5080620464100942
people feel;1.5058215179691836
kind thing;1.5045268249833863
need take;1.5013551186374126
really make;1.4960282932173112
clean water;1.4930318691192006
people really;1.492673802626573
hope get;1.4925557399475748
wild animal;1.482515984573277
something done;1.4772668216952543
black people;1.4763988867675653
wish could;1.4711414420969364
another example;1.4691934850137658
lost life;1.4669122023629957
make think;1.4560340449595432
trump supporter;1.4533143759869185
dont agree;1.4495213619949237
make sense;1.4439189885619894
felt like;1.4367563975695328
people know;1.4246879210002779
mentally ill;1.4208608614403775
whole thing;1.4159549901996644
like really;1.4157000791732277
feel sad;1.4147028555132535
would never;1.4139107599420369
even know;1.41322562747654
someone would;1.4115222860944927
someone else;1.4114468988654425
good thing;1.4105410719824665
doesnt seem;1.408885331217728
let know;1.4085520648889598
dont like;1.4073217284263553
help think;1.3979805913162155
another person;1.3948003647572094
hard believe;1.3944343735108098
read story;1.3859425469247977
need get;1.3792073027440497
country would;1.3744180916154178
big deal;1.3712246942868234
could done;1.3658589032410522
found dead;1.3627433684580115
also feel;1.3588931910737385
would make;1.35707252671653
take look;1.3552042033541447
didnt know;1.3534536606001561
health problem;1.3464573112231706
hope people;1.3401382416968692
people going;1.3344085632084783
think could;1.3121628152688292
get rid;1.3105319951663799
need something;1.3098969742389384
know people;1.3065728686361695
time ago;1.30429012012532
type thing;1.3029292132108423
passed away;1.298486000251744
found article;1.2921213976532708
people could;1.2809347108131455
get people;1.2798571653525874
imagine would;1.2751037849729432
like one;1.2735799949599196
another article;1.2705118342224853
go wrong;1.2669878174410591
good people;1.266417057325521
family lost;1.2655748237720112
see people;1.2617118806098349
bad thing;1.2596432985183474
could get;1.2554108969993691
kind stuff;1.2536844635127937
people lost;1.2489745963745822
dont get;1.2476235607716208
think article;1.24485514607098
care le;1.2418355628156597
want go;1.237407691000462
endangered specie;1.2351521097844729
really think;1.2303737383939466
article talk;1.2292916220556644
something could;1.2230683397240998
thing go;1.2213159667718063
mental illness;1.2208245561027353
making sure;1.2180194307777348
three people;1.2174484511661312
human shield;1.2174351703029473
thing going;1.2159140450154866
make wonder;1.2146498420386378
need stop;1.2064858855195693
bad family;1.1999079833102175
article also;1.1993768442135886
woman child;1.19782583796391
yet another;1.1930045311584276
lot money;1.1810229880292626
stuff like;1.1806550656144887
thing people;1.1801792817559809
like would;1.1799962010257348
article said;1.1765722302230088
need help;1.174435859822602
cant get;1.173548722804072
dont feel;1.1725707519391262
make want;1.1716012364031783
people live;1.1702055636762725
new york;1.169743022074019
thing need;1.1632922533709882
must feel;1.1627511194254128
human right;1.1625174318887337
like still;1.1623932250384772
one want;1.1605550907117985
whats going;1.1577878566416513
better job;1.1561284140207058
would say;1.1502140584838483
terrible thing;1.1493245710114204
could care;1.1478103581772663
know feel;1.146427542446387
rest life;1.1422117229745077
crazy people;1.141688509026456
day age;1.1412425800507677
third world;1.1412402160449484
think many;1.1406944766849472
world country;1.1378767642664875
killing people;1.1327029748242383
pretty much;1.1302751925082024
live life;1.13008972275936
saudi arabia;1.124586359124586
going around;1.1244074647104498
terrible tragedy;1.1242967131161907
crazy thing;1.1219181903774562
trying make;1.120415940156688
article interesting;1.11908346731975
people see;1.1186376418258754
situation like;1.1183185808581337
really know;1.1174133431514297
not imagine;1.108664454914015
law enforcement;1.1057091466247182
doesnt get;1.1005198159886613
people suffering;1.0974163850164982
glad dont;1.0970725493186457
paying attention;1.0954503086995908
kill people;1.0947675409274398
people care;1.0946967763503808
read another;1.094397986931507
even get;1.0943529112705936
know think;1.0936835256388853
people arent;1.0921518239755983
thing happens;1.091528698567834
world live;1.0899867668789176
take advantage;1.0898145958537755
middle school;1.0884517711859305
everyone else;1.0842678933666283
much better;1.0799645325725455
cant stand;1.0791608370707877
like make;1.0780900842356806
water supply;1.0778985540324437
terrorist group;1.0733687338245872
south korea;1.0725667390484839
break heart;1.071537582257091
people got;1.071289472419298
civilian killed;1.070540645808241
gun violence;1.0697255098940375
stay safe;1.0695512445917514
thing make;1.066465439323864
people world;1.0658256088396076
horrible thing;1.0600518994245038
could cause;1.059553699186338
bring back;1.0588752807970554
people even;1.0562756085669078
never really;1.0540616433715153
people take;1.0535169169572445
anyone else;1.0519841256376252
lose life;1.0503847318814177
need make;1.0492979252081307
islamic state;1.0485685630221522
thing happen;1.0468178244085549
help feel;1.044858880915096
keep safe;1.0444345787713458
would happen;1.043708827325266
sad family;1.0427634684877476
try make;1.038359319284746
life really;1.0383559205430237
go much;1.036553768570136
could prevented;1.0355891598231477
next day;1.0299538737692324
need done;1.022295591311739
people around;1.0214493884761546
story make;1.0201318000309012
need better;1.019331344988081
hope find;1.0180458882235137
would feel;1.0106792047147695
doesnt matter;1.0103861274516024
thing happening;1.0095719788181212
really hard;1.0085648676327794
news article;1.0062909498326158
like could;1.005893837910019
way people;1.0023048750591048
let alone;1.0022673301127285
believe people;1.000767823177856
like think;1.0005460359432539
sexual assault;0.9999721773790108
like something;0.9995962067475526
big problem;0.9985164116023516
tragedy feel;0.995221764176272
family going;0.9941742971454112
year later;0.9927592832246113
major issue;0.9920464488174576
sleep disorder;0.9912857030266657
people already;0.9901380456678406
gon na;0.9895412985344175
live world;0.9889761682971869
need go;0.9842358979130753
since dont;0.9838765223367757
hear story;0.980140290909816
men woman;0.9801315916186617
better people;0.9792412919477551
heart go;0.9790237086202865
act like;0.978948558916966
entire life;0.977775904460332
know dont;0.9767092804733818
poor woman;0.9765146598525211
get help;0.9742655846875818
many thing;0.9738998814513495
make mad;0.9717450143554585
great deal;0.9713595588333038
one day;0.9694969326574023
trump campaign;0.9668190870916269
try get;0.966049086594468
boko haram;0.9640243988545972
sad thing;0.9630129418259217
shot killed;0.9606295153548772
one people;0.9578416013484523
people believe;0.9554643311399971
think someone;0.951198839748732
pretty interesting;0.9511768522241806
going take;0.9475485523558735
would help;0.9472056981953183
reading story;0.9463326598235088
black man;0.9462699696342796
country need;0.945420836042285
someone could;0.9453383862672334
didnt realize;0.9449334529229134
federal government;0.9441720298528385
would something;0.9439417423955856
get shot;0.9428213424082207
good news;0.9414886717293256
world people;0.9405897157763465
sad many;0.9401726386148358
made feel;0.9393605958889581
people affected;0.9376982958489394
couldnt get;0.9369864336494581
north korea;0.9369204177638422
talk show;0.9351998826562452
sad terrible;0.9351387759300807
believe would;0.9330243207912472
conversion therapy;0.9319009395490403
something else;0.9317674126792321
like never;0.9314949640068675
hope everyone;0.9314590449154938
hey check;0.9314586111846102
thing would;0.9311580555754938
million dollar;0.9292668903357534
always sad;0.9284961286199793
really read;0.9275400253664942
could easily;0.9271644402556438
taking care;0.9232830763841522
poor kid;0.9220024691027736
one would;0.9194226240577235
article man;0.9193526032602168
sad situation;0.9181727125637538
would take;0.9178207321341191
guy shot;0.9177165041345987
imagine family;0.9175489017251157
last year;0.9175373454646316
people always;0.9173640088143029
acting like;0.9147587174452522
also think;0.9116346695262714
think thing;0.9110881118780476
people injured;0.9109502402616809
people put;0.9099276134613377
country people;0.9093189217305282
imagine going;0.9086272854975244
want get;0.9076527752095237
youd think;0.9069815605373235
one two;0.9058441419779751
didnt really;0.9055547185892276
always feel;0.9024552564893202
let go;0.9009546936454422
either way;0.8992612830924541
know could;0.8986973230764987
taken care;0.8972303668724653
way get;0.8971560563179158
happen anyone;0.8963985729220395
dont believe;0.8962992225015503
article like;0.8953867414036782
hey wanted;0.8944242589750211
like good;0.8926001212690944
seemed like;0.8921434483002852
make thing;0.8902149914760494
male model;0.8894789970557819
would go;0.8889636737771359
like lot;0.8881179004762325
world would;0.8873793375673583
rest world;0.8873437771648385
would great;0.8872933903285276
rain forest;0.8844464390396635
sad article;0.8829283344414346
two people;0.8807580603783272
